Cód. Produto;Descrição;Unid.;Categoria;Família;Grupo Produto
041.036;041.036 - Kiwi Imp Qualita Cx 10 Und C/700gr;7,00;Kiwi Imp;Kiwi Hayward;Kiwi
041.037;041.037 - Kiwi Pick & Nicky Imp 600g Cx 10 Und;6,00;Kiwi Imp Pick & Nicky;Kiwi Hayward;Kiwi
041.038;041.038 - Kiwi Hayward Imp Eleg Cal 39 Cx 10kg;10,00;Kiwi Imp;Kiwi Hayward;Kiwi
041.039;041.039 - Kiwi Pick & Nicky Imp 600g Cx 22 Und;13,20;Kiwi Imp Pick & Nicky;Kiwi Hayward;Kiwi
041.040;041.040 - Kiwi Green Zespri Imp Cal 39 Cx 10kg;10,00;Kiwi Green;Kiwi Green;Kiwi
041.041;041.041 - Kiwi Hayward Imp Com Cal 39 Cx 10kg;10,00;Kiwi Imp;Kiwi Hayward;Kiwi
041.042;041.042 - Kiwi Hayward Imp Eleg Cal 42 Cx 09kg;9,00;Kiwi Imp;Kiwi Hayward;Kiwi
041.043;041.043 - Kiwi Pick & Nick 600gr Cx 22 Und;13,20;Kiwi Imp Pick & Nicky;Kiwi Hayward;Kiwi
041.044;041.044 - Kiwi Sungold Zespri Imp Cx 5,04 Kg / 14 X 360g;5,04;Kiwi Sungold;Kiwi Sungold;Kiwi
041.045;041.045 - Kiwi Hayward Imp Eleg Cal 20-23 Cx 10kg;10,00;Kiwi Imp;Kiwi Hayward;Kiwi
041.046;041.046 - Kiwi Hayward Imp Com Cal 36 Cx 09kg;9,00;Kiwi Imp;Kiwi Hayward;Kiwi
041.047;041.047 - Kiwi Hayward Imp Com Cal 30 Cx 9kg;9,00;Kiwi Imp;Kiwi Hayward;Kiwi
041.048;041.048 - Kiwi Hayward Imp Com Cal 39 Cx 9kg;9,00;Kiwi Imp;Kiwi Hayward;Kiwi
041.049;041.049 - Kiwi Hayward Imp Com Cal 27 Cx 9 Kg;9,00;Kiwi Imp;Kiwi Hayward;Kiwi
041.050;041.050 - Kiwi Jingold Amarelo Imp Cal 36 Cx 6kg;6,00;Kiwi Imp;Kiwi Jingold Amarelo;Kiwi
041.051;041.051 - Kiwi Pick & Nicky 600g Cx 10 Und;6,00;Kiwi Imp Pick & Nicky;Kiwi Hayward;Kiwi
041.053;041.053 - Kiwi Green Zespri Imp Cx 4,96 Kg / 16 X 310g;4,96;Kiwi Green;Kiwi Green;Kiwi
041.054;041.054 - Kiwi Sungold Zespri Imp Cx 4,96 Kg / 16 X 310g;4,96;Kiwi Sungold;Kiwi Sungold;Kiwi
042.003;042.003 - Pera D'Anjou Varejo;1,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.004;042.004 - Pera Ercolini Ele Imp Cx 10kg;10,00;Pera Ercolini Imp;Pera Ercolini;Pera
042.005;042.005 - Pera Imp D Anjou Com Cal 120 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.005;042.005 - Pera Imp D'Anjou Com Cal 120 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.006;042.006 - Pera Imp D'Anjou Com Cal 135-150 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.007;042.007 - Pera Imp D'Anjou Com Cal 60-70 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.008;042.008 - Pera Imp D'Anjou Com Cal 80-110 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.009;042.009 - Pera Imp D'Anjou Eleg Cal 120 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.010;042.010 - Pera Imp D'Anjou Eleg Cal 135 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.011;042.011 - Pera Imp D'Anjou Eleg Cal 150 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.012;042.012 - Pera Imp D'Anjou Eleg Cal 30-40 Cx 09kg;9,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.014;042.014 - Pera Imp D'Anjou Eleg Cal 60-70 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.015;042.015 - Pera Imp D'Anjou Eleg Cal 80-110 Cx 18kg;18,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.017;042.017 - Pera Imp Williams Eleg Cal 75-80 Cx 09kg;9,00;Pera Willians Imp;Pera Willians;Pera
042.018;042.018 - Pera Imp Willians Eleg Cal 70-110 Cx 18kg;18,00;Pera Willians Imp;Pera Willians;Pera
042.018;042.018 - Pera Imp Willians Eleg Cal 80-110 Cx 18kg;18,00;Pera Willians Imp;Pera Willians;Pera
042.019;042.019 - Pera Morettini Imp Eleg Cal 55-60 Cx 10 Kg;10,00;Pera Morenttini;Pera Portuguesa;Pera
042.020;042.020 - Pera Packham S Imp Cal 80-110 Cx 18kg;18,00;Pera Packham;Pera Packham'S;Pera
042.020;042.020 - Pera Packham'S Imp Cal 80-110 Cx 18kg;18,00;Pera Packham;Pera Packham'S;Pera
042.022;042.022 - Pera Portuguesa Imp Com Cal 50-55 Cx 10 Kg;10,00;Pera Portuguesa Imp;Pera Portuguesa Imp;Pera
